"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",4.53,0.56
"01_2",13.8,-3.48
"01_3",5.35,-2.65
"01_4",-8.56,-8.03
"01_5",5.83,-1.72
"02_1",8.1,-7.36
"02_2",6.76,-3.66
"02_3",-2.2,0.56
"02_4",0.23,-2.47
"02_5",-6.35,1.84
"03_1",16.53,-3.24
"03_2",4.93,-2.31
"03_3",4.78,12.2
"03_4",4.97,-4.13
"03_5",5.08,6.38
"04_1",12.05,10.17
"04_2",1.13,8.14
"04_3",12.07,12.75
"04_4",-14.77,3.11
"04_5",11.65,-8.56
"05_1",0.35,-3.91
"05_2",3.64,-4.38
"05_3",-0.87,-8.58
"05_4",2.69,-3.39
"05_5",9.26,9.75
"06_1",6.94,1.05
"06_2",2.1,6.79
"06_3",6.74,-0.91
"06_4",-2.47,-7.88
"06_5",1.75,-8.31
"07_1",0.17,-6.25
"07_2",7.52,6.33
"07_3",13.99,-4.34
"07_4",-1.72,-3.75
"07_5",-6.29,3.29
"08_1",-9.88,0.52
"08_2",11.79,7.55
"08_3",-5.71,-15.34
"08_4",5.17,-3.9
"08_5",-11.4,7.49
"09_1",15.58,-9.51
"09_2",0.01,-4.74
"09_3",-8.94,-1.65
"09_4",3.89,1.47
"09_5",9.92,-12.56
"10_1",5.27,-0.16
"10_2",-7.73,-10.73
"10_3",3.66,18.1
"10_4",11.07,11.82
"10_5",7.87,11.05
"11_1",9.72,4.4
"11_2",11.82,-10.68
"11_3",2.26,11.26
"11_4",4.72,4.07
"11_5",-2.97,0.4
"12_1",13.49,4.54
"12_2",-4.1,11.09
"12_3",-7.92,-1.66
"12_4",8.25,5.98
"12_5",11.92,3.01
