"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.99,0.05
"01_2",6.73,2.31
"01_3",3.96,13.4
"01_4",-2.21,7.51
"01_5",-0.98,11.26
"02_1",7.08,-4.19
"02_2",7.64,-1.14
"02_3",-4.81,5.4
"02_4",0.28,-6.82
"02_5",-0.13,2.88
"03_1",13.13,-0.31
"03_2",5.65,-8.85
"03_3",-1.41,8.42
"03_4",-3.25,-4.12
"03_5",-5.57,10.85
"04_1",20.73,8.3
"04_2",-6.79,14.62
"04_3",10.75,5.4
"04_4",-18.01,11.57
"04_5",-2.84,8.22
"05_1",-2.14,3.8
"05_2",-4.62,8.62
"05_3",2.25,-3.09
"05_4",-3.03,10.8
"05_5",-0.49,14.7
"06_1",4.53,2.95
"06_2",2.83,10.19
"06_3",-2.35,-0.93
"06_4",-4.12,16.27
"06_5",1.6,-1.43
"07_1",-1.1,-8.17
"07_2",2.38,9.85
"07_3",8.21,12.04
"07_4",-13.6,13.97
"07_5",-3.45,-2.64
"08_1",2.21,3.83
"08_2",5.53,11.69
"08_3",-9.87,-4.62
"08_4",-0.39,-0.07
"08_5",-8.01,3.37
"09_1",5.08,-9.13
"09_2",-11.2,5.87
"09_3",-16.41,-1.59
"09_4",-1.21,6.51
"09_5",1.67,8.6
"10_1",5.01,-4.97
"10_2",7.6,6.95
"10_3",-5.05,16.76
"10_4",-9.01,13.82
"10_5",-37.14,21.92
"11_1",8.35,-0.5
"11_2",6.7,4.03
"11_3",7.09,11
"11_4",-3.16,6.97
"11_5",-16.41,8.58
"12_1",4.85,2.15
"12_2",-5.65,13.86
"12_3",-7.34,-9.21
"12_4",6.55,22.14
"12_5",-2.37,11.53
