"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",6.64,1.02
"01_2",8.78,3.07
"01_3",10.15,10.61
"01_4",-4,-2.23
"01_5",4.54,11.55
"02_1",7.1,-9.89
"02_2",10.14,-3.11
"02_3",-2.9,3.87
"02_4",6.87,-5.69
"02_5",-0.27,9.58
"03_1",4.26,0.01
"03_2",8.25,-3.66
"03_3",-0.85,12
"03_4",0.96,-4.45
"03_5",-1.83,2.59
"04_1",21.29,8.36
"04_2",-7.43,9.7
"04_3",13.67,0.27
"04_4",-17.1,4.19
"04_5",5.15,4.34
"05_1",-1.31,4.82
"05_2",5.71,6.85
"05_3",2,-3.73
"05_4",0.4,10.89
"05_5",1.54,11.2
"06_1",6.92,-4.44
"06_2",5.27,6.69
"06_3",-1.65,-0.86
"06_4",-3.28,7.92
"06_5",6.71,-3.29
"07_1",-7.69,-10.4
"07_2",9.67,7.23
"07_3",7.22,1.79
"07_4",-8.12,2.59
"07_5",-6.26,-2.84
"08_1",1.31,-1.45
"08_2",6.89,15.34
"08_3",-7.85,-3.45
"08_4",-2.61,-5.31
"08_5",-5.61,5.66
"09_1",10.45,-10.11
"09_2",-4.22,-4.76
"09_3",-18.57,-0.27
"09_4",11.84,-5.15
"09_5",8.13,4.09
"10_1",9.9,1.79
"10_2",1.59,-4.18
"10_3",1.58,13.33
"10_4",-3.3,14.48
"10_5",-32.66,21.05
"11_1",9.5,-4.65
"11_2",15.03,-0.19
"11_3",10.56,8.69
"11_4",-6.37,6.81
"11_5",-13.5,5.18
"12_1",1.91,4.81
"12_2",-1.99,16.86
"12_3",-6.74,-10.1
"12_4",5.68,12.95
"12_5",6.71,12.2
