"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.44,-1.26
"01_2",16.07,1
"01_3",6.44,2.58
"01_4",-10.15,-8.99
"01_5",9.18,3.19
"02_1",5.33,-10.2
"02_2",11.81,-2.48
"02_3",-9.43,-2.79
"02_4",1.52,-7.9
"02_5",-8.79,10.21
"03_1",23.61,0.96
"03_2",6.93,-3.54
"03_3",1.44,12.95
"03_4",-0.57,-6.54
"03_5",-0.4,4.1
"04_1",13.08,8.45
"04_2",0.24,10.76
"04_3",15.94,9.02
"04_4",-15.44,7.57
"04_5",4.9,-3.38
"05_1",-1.18,-2.58
"05_2",4.41,-0.84
"05_3",-0.33,-3.76
"05_4",4.24,0.05
"05_5",11.8,12.7
"06_1",4.81,-1.07
"06_2",4.31,0.73
"06_3",5.7,-3.19
"06_4",-7.38,-2.5
"06_5",6.09,-7.05
"07_1",0.15,-8.53
"07_2",7.14,6.41
"07_3",16.3,-1.47
"07_4",-4.1,-1.19
"07_5",-3.72,4.62
"08_1",0.57,-2.33
"08_2",5.72,14.58
"08_3",-6.96,-15.15
"08_4",0.7,-6.81
"08_5",-17.73,10.05
"09_1",17.53,-11.29
"09_2",-1.72,-10.94
"09_3",-17.97,1.63
"09_4",11.24,4.16
"09_5",7.52,-10.02
"10_1",17.2,-1.84
"10_2",-15.45,-4.44
"10_3",-1.93,15.83
"10_4",-2.11,9.15
"10_5",-16.39,14.33
"11_1",8.85,-2.4
"11_2",11.96,-8.07
"11_3",4.7,9.12
"11_4",3.27,3.23
"11_5",-12.24,3.67
"12_1",14.25,1.58
"12_2",-1.31,20.11
"12_3",-6.06,-12.3
"12_4",14.52,13.17
"12_5",6.88,11.88
