"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",4.08,-0.06
"01_2",16.98,-0.34
"01_3",3.3,-0.81
"01_4",-11.27,-8.41
"01_5",5.05,-4.21
"02_1",6.57,-8.47
"02_2",10.15,-3.66
"02_3",-3.4,-1.63
"02_4",0.17,-2.98
"02_5",-4.68,1.36
"03_1",19.14,3.53
"03_2",5.95,-5.33
"03_3",2.8,11.78
"03_4",2.46,-4.03
"03_5",3.19,5.36
"04_1",15.72,10.71
"04_2",-1.8,10.03
"04_3",15.65,13.34
"04_4",-18.75,0.63
"04_5",6.12,-5.26
"05_1",-0.63,-2.85
"05_2",5.13,-2.82
"05_3",-3.48,-5.43
"05_4",2.23,-3.33
"05_5",12.8,12.32
"06_1",4.12,1.65
"06_2",-0.59,2.26
"06_3",4.53,-0.33
"06_4",-3.21,-3.05
"06_5",7.51,-10.33
"07_1",-1.62,-8.14
"07_2",5.27,6.41
"07_3",16.3,-1.77
"07_4",-2.14,-5.76
"07_5",-6.87,5.4
"08_1",-2.09,0.06
"08_2",7.3,12.16
"08_3",-7.1,-19.39
"08_4",5.85,-5.87
"08_5",-15.25,9.41
"09_1",12.76,-7.96
"09_2",-0.87,-9.06
"09_3",-13.19,-2.03
"09_4",8.51,1.69
"09_5",8.18,-10.03
"10_1",5.97,-0.08
"10_2",-11.24,-12.21
"10_3",3.67,15.4
"10_4",8.76,8.69
"10_5",9.01,13.38
"11_1",7.05,-0.39
"11_2",10.82,-9.66
"11_3",2.58,11.26
"11_4",3.96,7.36
"11_5",-4.48,5.34
"12_1",13.36,2.24
"12_2",-2.81,13.09
"12_3",-4.86,-2.66
"12_4",9.93,10.39
"12_5",8.9,7.12
