"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",5.96,-1.26
"01_2",3.74,3.27
"01_3",5.61,12.25
"01_4",4.73,9.87
"01_5",-1.7,20.43
"02_1",4.2,-3.75
"02_2",16.21,2.8
"02_3",-7.99,7.8
"02_4",1.84,4.8
"02_5",-3.58,1.7
"03_1",15.14,-0.07
"03_2",3.05,-1.79
"03_3",-3.28,0.2
"03_4",-6.25,-1.42
"03_5",-6.19,15.55
"04_1",20.89,4.84
"04_2",-5.65,15.38
"04_3",3.23,6.14
"04_4",-13.85,13.11
"04_5",-6.85,11.76
"05_1",1.56,3.4
"05_2",-0.17,7.02
"05_3",-0.44,-1.01
"05_4",-3.23,14.87
"05_5",-4.68,14.94
"06_1",3.01,1.03
"06_2",2.47,11.92
"06_3",0.86,1.21
"06_4",-3.95,19.16
"06_5",-1.39,1.73
"07_1",-4.42,-4.7
"07_2",3.28,9.65
"07_3",2.71,10.27
"07_4",-10.88,12.07
"07_5",-3.49,-1.16
"08_1",2.02,6.58
"08_2",6.24,13.56
"08_3",-11.29,-4.72
"08_4",-2.66,1.88
"08_5",-9.74,1.23
"09_1",3.1,-6.43
"09_2",-9.03,6.54
"09_3",-16.51,1.73
"09_4",3.53,8.72
"09_5",-0.1,7.85
"10_1",6.2,-3.44
"10_2",9.54,9.39
"10_3",-5.75,12.7
"10_4",-13.89,14.54
"10_5",-36.09,24.14
"11_1",3.66,0.03
"11_2",9.35,8.49
"11_3",4.27,16.78
"11_4",-0.6,4.85
"11_5",-13.94,5.51
"12_1",2.59,1.27
"12_2",-2.63,13.93
"12_3",-5.37,-6.09
"12_4",6.87,20.43
"12_5",0.17,9.91
