"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",5.03,-0.84
"01_2",8.97,-0.86
"01_3",7.02,15.42
"01_4",-1.56,0.39
"01_5",2.19,9.73
"02_1",10.11,-8.34
"02_2",9.73,-3.51
"02_3",-3.79,3.29
"02_4",6.92,-4.67
"02_5",-2.32,6.7
"03_1",10.98,0.11
"03_2",6.55,-7.19
"03_3",-1.68,9.69
"03_4",0.11,-5.22
"03_5",-7.03,6.58
"04_1",23.37,3.8
"04_2",-10.42,14.98
"04_3",10.75,3.07
"04_4",-18.44,9.03
"04_5",0.83,4.58
"05_1",-1.09,7.12
"05_2",2.1,7.01
"05_3",2.88,-4.22
"05_4",-2.4,11.9
"05_5",-4.04,14.09
"06_1",7.94,-2.62
"06_2",3.17,11.71
"06_3",-1.78,-7.05
"06_4",-6.13,12.25
"06_5",5.95,-2.29
"07_1",-7.99,-7.75
"07_2",6.66,7.19
"07_3",7.07,6.61
"07_4",-10.07,7.92
"07_5",-8.3,-1.13
"08_1",3.19,2.31
"08_2",6.06,11.75
"08_3",-10.99,3.84
"08_4",-4.72,-2.22
"08_5",-12.56,7.19
"09_1",11.11,-11.25
"09_2",-5.27,2.39
"09_3",-20.34,-2.53
"09_4",4,-0.52
"09_5",4.56,4.61
"10_1",13.82,1.93
"10_2",7,-0.59
"10_3",1.68,13.92
"10_4",-4.82,17.84
"10_5",-33.34,26.13
"11_1",9.31,0.19
"11_2",16.43,5.96
"11_3",9.86,8.02
"11_4",-5.78,2.09
"11_5",-17.36,7.83
"12_1",3.75,4.81
"12_2",-7.85,17.79
"12_3",-7.35,-9.53
"12_4",6.41,17.39
"12_5",3.42,9.96
