"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",5.3,-2.37
"01_2",6.52,1.65
"01_3",11.11,13.32
"01_4",-3.65,-0.5
"01_5",4.45,8.27
"02_1",9.04,-9.89
"02_2",11.88,-5.17
"02_3",-2.75,3.72
"02_4",8.52,-6.3
"02_5",-1.65,7.44
"03_1",4.1,1.99
"03_2",6.36,-5.1
"03_3",0.09,11.62
"03_4",0.82,-4.86
"03_5",-2.98,4.18
"04_1",20.52,5.9
"04_2",-8.96,10.27
"04_3",12.54,2.09
"04_4",-17.76,6.39
"04_5",5.93,3.92
"05_1",-1.39,5.55
"05_2",2.7,5.38
"05_3",1.51,-1.84
"05_4",-2.38,10.97
"05_5",0.26,9.81
"06_1",7.85,-3.33
"06_2",2.19,9.75
"06_3",-1.93,-1.75
"06_4",-6.77,10.05
"06_5",6.94,-4.6
"07_1",-7.79,-6.2
"07_2",7.41,7.08
"07_3",7.09,2.24
"07_4",-8.08,4.65
"07_5",-7.07,-2.36
"08_1",5.14,2.55
"08_2",6.22,11.25
"08_3",-8.71,0.43
"08_4",-4.91,-2.78
"08_5",-8.17,8.5
"09_1",8.13,-9.71
"09_2",-5.38,-3.97
"09_3",-18.41,-1.44
"09_4",10.47,-1.19
"09_5",8.19,4.06
"10_1",11,1.45
"10_2",4.3,0.1
"10_3",1.99,15.35
"10_4",-3.4,15.27
"10_5",-34.64,25.38
"11_1",6.37,-3.16
"11_2",17.59,4.94
"11_3",10.67,8.97
"11_4",-5.33,3.51
"11_5",-16.34,8.62
"12_1",5.11,5.12
"12_2",-5.35,16.53
"12_3",-8.47,-10.23
"12_4",5.45,16.11
"12_5",9.95,9.54
