"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",4.26,-2.25
"01_2",6.29,-1.34
"01_3",7.42,14.5
"01_4",-4.01,0.03
"01_5",1.93,9.08
"02_1",9.23,-8.01
"02_2",8.66,-4.01
"02_3",-3.34,5
"02_4",8.26,-4.48
"02_5",-0.14,6.95
"03_1",6.81,-1.97
"03_2",6.68,-5.11
"03_3",2.58,10.66
"03_4",-0.23,-5.07
"03_5",-0.62,5.44
"04_1",18.93,4.3
"04_2",-8.96,9.63
"04_3",12.21,2.24
"04_4",-16.5,7.07
"04_5",3.92,4.58
"05_1",-1.09,5.4
"05_2",3.7,6.56
"05_3",3.52,-3.77
"05_4",-2.63,10.04
"05_5",-2.06,12.15
"06_1",8.27,-3.71
"06_2",0.88,9.23
"06_3",-1.96,-5.49
"06_4",-6.2,11.46
"06_5",7.35,-3.05
"07_1",-7.15,-7.09
"07_2",6.48,6.86
"07_3",7.89,4.6
"07_4",-9.09,7.23
"07_5",-8.74,-2.78
"08_1",4.95,1.98
"08_2",6.31,11.64
"08_3",-10.48,0.3
"08_4",-5.67,-4.49
"08_5",-11.76,7.83
"09_1",7.4,-11.35
"09_2",-7.23,-2.8
"09_3",-19.93,-0.51
"09_4",6.4,0.26
"09_5",9.2,2.95
"10_1",12.48,1.48
"10_2",4.14,-0.48
"10_3",1.41,15.04
"10_4",-1.89,16.87
"10_5",-35.5,26.54
"11_1",8.19,-4.21
"11_2",17.77,2.99
"11_3",10.12,10.62
"11_4",-5.99,3.28
"11_5",-16.79,9.33
"12_1",3.91,4.83
"12_2",-6.01,15.63
"12_3",-6.6,-10.57
"12_4",6.25,16.94
"12_5",7.03,8.26
