"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.73,0.52
"01_2",14.64,0.57
"01_3",7.46,4.69
"01_4",-5.87,-6.49
"01_5",7.24,5.99
"02_1",6.1,-10.57
"02_2",10.95,-1.6
"02_3",-5.9,-1.94
"02_4",-0.87,-4.8
"02_5",-9.85,11.12
"03_1",22.23,3.09
"03_2",9.51,-5.3
"03_3",1.49,10.71
"03_4",-2.3,-7.22
"03_5",0.16,2.28
"04_1",17.18,5.36
"04_2",-4.35,11.49
"04_3",15.29,7.62
"04_4",-17.08,7.37
"04_5",4.07,-1.57
"05_1",-0.83,1.35
"05_2",3.38,3.53
"05_3",6.96,-3.31
"05_4",5.26,6.82
"05_5",11.32,14.78
"06_1",7.8,-5.21
"06_2",3.6,2.93
"06_3",3.66,-3.83
"06_4",-2.78,2.93
"06_5",7.45,-9.67
"07_1",-3.47,-11.32
"07_2",11.31,6.11
"07_3",14.12,-2.85
"07_4",-5.8,0.91
"07_5",-4.33,-1.52
"08_1",0.24,-2.64
"08_2",8.26,16.12
"08_3",-10.29,-1.54
"08_4",-0.25,-7.86
"08_5",-10.16,3.91
"09_1",16.8,-12.71
"09_2",-3.97,-8.72
"09_3",-19.42,0.15
"09_4",11.53,2.62
"09_5",12.43,-13.28
"10_1",14.16,1.76
"10_2",-13.95,-4.8
"10_3",-2.17,13.1
"10_4",-4.77,7.36
"10_5",-20.9,19.19
"11_1",11.35,-3.35
"11_2",8.98,-6.58
"11_3",5.31,7.84
"11_4",5.63,2.42
"11_5",-14.07,6.16
"12_1",11.33,1.15
"12_2",0.02,21.43
"12_3",-6.84,-13.37
"12_4",12.51,14.37
"12_5",4.14,13.48
