"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",4.4,0.56
"01_2",13.98,-5.06
"01_3",5.66,-3.41
"01_4",-9.66,-8.22
"01_5",6.43,-1.84
"02_1",8.07,-6.89
"02_2",7.61,-4.12
"02_3",-2.25,0.22
"02_4",-1.17,-4.3
"02_5",-6.79,0.82
"03_1",17.36,-1.7
"03_2",3.8,-3.95
"03_3",4.22,12.76
"03_4",5.11,-4.94
"03_5",5.61,6.47
"04_1",12.18,9.7
"04_2",0.78,10.04
"04_3",13.74,12.48
"04_4",-16.78,3.39
"04_5",10.18,-7.11
"05_1",0.35,-3.72
"05_2",5.6,-4.74
"05_3",-2.95,-8.49
"05_4",2.5,-4.84
"05_5",10.98,9.3
"06_1",6.13,0.94
"06_2",0.37,6.84
"06_3",6.95,-0.4
"06_4",-2,-8
"06_5",1.85,-7.9
"07_1",1.02,-6.77
"07_2",7.06,6.07
"07_3",14.38,-2.38
"07_4",-1.69,-4.63
"07_5",-6.58,3.47
"08_1",-9.17,-0.42
"08_2",10.9,7.1
"08_3",-4.43,-14.14
"08_4",4.99,-4.59
"08_5",-12.38,6.27
"09_1",14.39,-11.21
"09_2",0.27,-4.59
"09_3",-8.94,-0.58
"09_4",3.79,0.53
"09_5",10.11,-12.3
"10_1",4.69,0.21
"10_2",-8.45,-10.34
"10_3",4.4,17.71
"10_4",9.39,9.36
"10_5",10.49,12.38
"11_1",8.98,3.2
"11_2",12.41,-9.34
"11_3",0.71,12.19
"11_4",4.81,4.66
"11_5",-3.37,0.23
"12_1",13.45,5.09
"12_2",-4.64,10.83
"12_3",-7.15,-2.55
"12_4",7.06,7.7
"12_5",11.09,2.77
