"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",2.13,-0.22
"01_2",14.98,1.78
"01_3",4.87,2.59
"01_4",-8.86,-8.92
"01_5",4.56,-1.47
"02_1",7.63,-6.85
"02_2",9.01,-4.98
"02_3",-1.06,-2.52
"02_4",0.12,-2.27
"02_5",-4.47,2.27
"03_1",17.27,0.38
"03_2",4.96,-5.19
"03_3",4.15,11.29
"03_4",3.39,-7.35
"03_5",5.08,6.35
"04_1",14.91,9.73
"04_2",-0.38,10.96
"04_3",15.16,13.68
"04_4",-17.72,3.06
"04_5",7.37,-6.13
"05_1",-0.92,-4.52
"05_2",5.56,-4.04
"05_3",-1.93,-6.02
"05_4",2.67,-5.93
"05_5",10.27,10.04
"06_1",4.62,0.54
"06_2",-0.8,3.81
"06_3",5.27,-1.11
"06_4",-2.17,-2.99
"06_5",4.99,-10.26
"07_1",0.09,-7.23
"07_2",4.6,6.46
"07_3",16.46,-2.64
"07_4",-3.67,-4.14
"07_5",-6.58,5.83
"08_1",-6.74,0.74
"08_2",11.55,10.91
"08_3",-5.08,-14.38
"08_4",3.37,-4.5
"08_5",-16.09,5.73
"09_1",13.15,-9.46
"09_2",0.28,-6.41
"09_3",-10.04,0.44
"09_4",4.86,0.61
"09_5",10.44,-12.79
"10_1",5,3.51
"10_2",-8.79,-10.99
"10_3",4.71,17.02
"10_4",8.49,9.93
"10_5",10.49,13.37
"11_1",8.39,2.02
"11_2",13.15,-10.31
"11_3",1.09,12.5
"11_4",1.32,3.79
"11_5",-4.42,0.76
"12_1",12.25,5.37
"12_2",-4.73,12.82
"12_3",-7.01,-3.01
"12_4",9,8.45
"12_5",10.05,6.52
