"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.73,-1.69
"01_2",15.24,-1.81
"01_3",6.05,2.72
"01_4",-9.23,-6.49
"01_5",8.49,3.85
"02_1",5.08,-9.41
"02_2",12.01,-3.14
"02_3",-8.53,-0.97
"02_4",0.47,-6.19
"02_5",-8.79,12.07
"03_1",21.57,3.31
"03_2",9.51,-3.78
"03_3",2.74,11.46
"03_4",-1.77,-6.3
"03_5",1.29,3.13
"04_1",14.53,6.65
"04_2",-2.11,10.77
"04_3",15.9,8.39
"04_4",-16.67,6.75
"04_5",6.68,-1.81
"05_1",-1.22,-2.35
"05_2",3.89,3.04
"05_3",2.51,-5.13
"05_4",2.99,1.78
"05_5",14.12,12.48
"06_1",5.66,-5.21
"06_2",5.64,2.42
"06_3",5.9,-4.51
"06_4",-3.45,-1.09
"06_5",6.18,-10.19
"07_1",-3.3,-8.53
"07_2",10.72,6.95
"07_3",15.27,-2.18
"07_4",-6.64,-0.79
"07_5",-3.19,4.33
"08_1",0.42,-3.83
"08_2",6.45,18.25
"08_3",-11.5,-3.15
"08_4",0.99,-7.04
"08_5",-9.03,2.44
"09_1",18.12,-13.05
"09_2",-1.28,-8.98
"09_3",-20.13,0.58
"09_4",14.08,4.72
"09_5",11.21,-12.37
"10_1",15.66,-0.07
"10_2",-13.92,-5.24
"10_3",-2.39,13.38
"10_4",-4,7.36
"10_5",-20.15,18.2
"11_1",6.14,-2.96
"11_2",12.93,-6.86
"11_3",4.32,9.17
"11_4",3.88,3.48
"11_5",-13.78,4.68
"12_1",11.87,2.21
"12_2",0.17,19.91
"12_3",-6.32,-12.05
"12_4",12.99,12.38
"12_5",4.65,13.23
