"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.19,-0.18
"01_2",11.88,2.32
"01_3",6.29,10.73
"01_4",-5.24,-4.84
"01_5",8.19,10.96
"02_1",2,-7.21
"02_2",10.19,-1.84
"02_3",-4.74,-1.39
"02_4",5.03,-7.99
"02_5",0.37,11.25
"03_1",12.03,5.41
"03_2",5.1,-7.78
"03_3",1.06,9.64
"03_4",-0.55,-4.66
"03_5",-2.9,1.73
"04_1",18.59,8.79
"04_2",-9.02,11.4
"04_3",14.55,0.53
"04_4",-17.33,2.67
"04_5",4.81,4.53
"05_1",-0.96,2.56
"05_2",4.41,5.3
"05_3",3.84,-2.29
"05_4",0.52,8.39
"05_5",4.58,10.08
"06_1",7.1,-4.43
"06_2",3.45,5.46
"06_3",0.71,-6.24
"06_4",-3.56,3.1
"06_5",8.14,-4.86
"07_1",-3.92,-9.45
"07_2",11.09,4.21
"07_3",9.21,0.04
"07_4",-6.37,1.71
"07_5",-7.63,-3.54
"08_1",3.04,-1.72
"08_2",6.12,14.47
"08_3",-7.05,-1.06
"08_4",-1.55,-5.52
"08_5",-6.92,3.23
"09_1",16.47,-13.52
"09_2",-4.08,-9.48
"09_3",-15.6,1.81
"09_4",11.88,-0.42
"09_5",8.82,-13.77
"10_1",14.67,0.69
"10_2",-13.62,-5.52
"10_3",-1.94,11.82
"10_4",-4.93,12.26
"10_5",-23.8,19.72
"11_1",11.63,-3.74
"11_2",8.03,-7.93
"11_3",5.69,10.07
"11_4",3.46,2.12
"11_5",-16.34,1.67
"12_1",12.7,3.09
"12_2",-0.48,19.55
"12_3",-7.84,-11.45
"12_4",10.1,13.58
"12_5",5.24,13.13
