"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.61,-1.78
"01_2",2.81,1.23
"01_3",4.82,12.66
"01_4",2.2,9.67
"01_5",-2.11,16.41
"02_1",7.5,-1.24
"02_2",12.79,-0.46
"02_3",-6.46,4.95
"02_4",0.27,-2.5
"02_5",-1.84,2.4
"03_1",12.38,1.01
"03_2",8.18,-3.61
"03_3",-2.59,8.07
"03_4",-6,-0.12
"03_5",-4.65,11.76
"04_1",23.85,6.3
"04_2",-8.94,10.65
"04_3",4.32,3.35
"04_4",-19.58,13.53
"04_5",-2.88,9.73
"05_1",-1.2,3.88
"05_2",-1.23,4.9
"05_3",1.87,-1.87
"05_4",-4.52,12.12
"05_5",-2.01,14.2
"06_1",4.81,0.4
"06_2",4,11.85
"06_3",-1.04,-1.25
"06_4",-4.65,19.75
"06_5",1.66,-0.42
"07_1",-1.57,-7.33
"07_2",2.35,10.01
"07_3",5.12,10.54
"07_4",-10.75,14.54
"07_5",-2.87,-1.35
"08_1",4.52,6.6
"08_2",7.43,14.26
"08_3",-9.44,-5.99
"08_4",-4.21,2.15
"08_5",-8.37,4.57
"09_1",5.33,-4.93
"09_2",-9.71,5.96
"09_3",-13.36,-0.67
"09_4",2.03,5.2
"09_5",-2.41,9.24
"10_1",3.75,-3.53
"10_2",6.6,7.52
"10_3",-6,11.77
"10_4",-9.14,12.99
"10_5",-37.91,24.39
"11_1",5.88,-2.16
"11_2",9.33,4.68
"11_3",5.96,12.9
"11_4",-3.16,4.99
"11_5",-17.2,6.67
"12_1",3.8,2
"12_2",-5.11,11.18
"12_3",-6.83,-7.36
"12_4",6.65,23.69
"12_5",-1.37,11.95
