"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.18,0.58
"01_2",10.06,0.68
"01_3",4.6,17.01
"01_4",-2.69,5.77
"01_5",-2.25,10.56
"02_1",6.68,-5.44
"02_2",10.3,-1.12
"02_3",-4.12,3.95
"02_4",4.27,-6.22
"02_5",-5.35,6.1
"03_1",13.73,-1.38
"03_2",7.67,-8.65
"03_3",-1.78,8.3
"03_4",-1.47,-4.91
"03_5",-7.2,13.04
"04_1",23.41,6.35
"04_2",-8.47,15.29
"04_3",10.09,2.6
"04_4",-17.36,10.43
"04_5",-2.31,6.9
"05_1",-3.34,5.11
"05_2",-0.86,7.68
"05_3",2.43,-3.43
"05_4",-5.38,11.74
"05_5",0.35,10.45
"06_1",4.85,-1.74
"06_2",3.25,9.47
"06_3",-2.71,-3.7
"06_4",-7.52,15.88
"06_5",3.01,-1.49
"07_1",-9.57,-8.58
"07_2",7.9,10.89
"07_3",8.6,8.9
"07_4",-15.83,13.41
"07_5",-6.86,1.32
"08_1",2.98,2.86
"08_2",9.11,12.81
"08_3",-9.14,1.98
"08_4",-2.33,-2.16
"08_5",-13.97,3.61
"09_1",7.25,-10.22
"09_2",-7.5,5.89
"09_3",-21.89,-1.44
"09_4",2.03,2.26
"09_5",0.86,7.89
"10_1",8.42,-0.57
"10_2",10.49,-0.55
"10_3",-0.49,14.42
"10_4",-7.93,18.48
"10_5",-38.07,23.95
"11_1",8.75,-2.01
"11_2",11.84,4.41
"11_3",9.81,8.66
"11_4",-4.21,5
"11_5",-18.42,9.03
"12_1",6.58,0.84
"12_2",-8.67,17.18
"12_3",-9.5,-10.08
"12_4",5.71,20.28
"12_5",1.62,10.86
