"cdate","cp","pctlead","pctlag1","moydow"
"1950-01-03",16.66,1.140456182473,0,"01_2"
"1950-01-04",16.85,0.474777448071206,1.140456182473,"01_3"
"1950-01-05",16.93,0.29533372711164,0.474777448071206,"01_4"
"1950-01-06",16.98,0.588928150765594,0.29533372711164,"01_5"
"1950-01-09",17.08,-0.292734192037469,0.588928150765594,"01_1"
"1950-01-10",17.030001,0.352313543610486,-0.292734192037469,"01_2"
"1950-01-11",17.09,-1.93095377413691,0.352313543610486,"01_3"
"1950-01-12",16.76,-0.536992840095464,-1.93095377413691,"01_4"
"1950-01-13",16.67,0.299934013197359,-0.536992840095464,"01_5"
"1950-01-16",16.719999,0.837332585964862,0.299934013197359,"01_1"
"1950-01-17",16.860001,-0.0593179086999997,0.837332585964862,"01_2"
"1950-01-18",16.85,0.118700296735888,-0.0593179086999997,"01_3"
"1950-01-19",16.870001,0.177824530063751,0.118700296735888,"01_4"
"1950-01-20",16.9,0.118343195266291,0.177824530063751,"01_5"
"1950-01-23",16.92,-0.354604018912537,0.118343195266291,"01_1"
"1950-01-24",16.860001,-0.711749661224825,-0.354604018912537,"01_2"
"1950-01-25",16.74,-0.0597371565113382,-0.711749661224825,"01_3"
"1950-01-26",16.73,0.53795576808129,-0.0597371565113382,"01_4"
"1950-01-27",16.82,1.18906064209274,0.53795576808129,"01_5"
"1950-01-30",17.02,0.176257344300823,1.18906064209274,"01_1"
"1950-01-31",17.049999,0,0.176257344300823,"01_2"
"1950-02-01",17.049999,1.05572440209528,0,"02_3"
"1950-02-02",17.23,0.348235635519441,1.05572440209528,"02_4"
"1950-02-03",17.290001,0.17350490610151,0.348235635519441,"02_5"
"1950-02-06",17.32,-0.519630484988452,0.17350490610151,"02_1"
"1950-02-07",17.23,-0.116082414393503,-0.519630484988452,"02_2"
"1950-02-08",17.209999,0.406751912071574,-0.116082414393503,"02_3"
"1950-02-09",17.280001,-0.231487255122266,0.406751912071574,"02_4"
"1950-02-10",17.24,-1.04408932714616,-0.231487255122266,"02_5"
"1950-02-14",17.059999,0,-1.04408932714616,"02_2"
"1950-02-15",17.059999,-0.410310692280831,0,"02_3"
"1950-02-16",16.99,0.941730429664509,-0.410310692280831,"02_4"
"1950-02-17",17.15,0.291551020408173,0.941730429664509,"02_5"
"1950-02-20",17.200001,-0.174424408463689,0.291551020408173,"02_1"
"1950-02-21",17.17,0.232958648806046,-0.174424408463689,"02_2"
"1950-02-23",17.209999,0.406751912071574,0.232958648806046,"02_4"
"1950-02-24",17.280001,0,0.406751912071574,"02_5"
"1950-02-27",17.280001,-0.347233776201733,0,"02_1"
"1950-02-28",17.219999,0.116149832529009,-0.347233776201733,"02_2"
"1950-03-01",17.24,-0.0580046403712182,0.116149832529009,"03_3"
"1950-03-02",17.23,0.348235635519441,-0.0580046403712182,"03_4"
"1950-03-03",17.290001,0.17350490610151,0.348235635519441,"03_5"
"1950-03-06",17.32,-0.692834872979215,0.17350490610151,"03_1"
"1950-03-07",17.200001,-0.0581395315035247,-0.692834872979215,"03_2"
"1950-03-08",17.190001,-0.698086055957754,-0.0581395315035247,"03_3"
"1950-03-09",17.07,0.117164616285879,-0.698086055957754,"03_4"
"1950-03-10",17.09,0.175547103569331,0.117164616285879,"03_5"
"1950-03-13",17.120001,0.75933990891707,0.175547103569331,"03_1"
"1950-03-14",17.25,1.15942608695652,0.75933990891707,"03_2"
"1950-03-15",17.450001,0.22922061723663,1.15942608695652,"03_3"
"1950-03-16",17.49,-0.22869639794167,0.22922061723663,"03_4"
"1950-03-17",17.450001,-0.0573065869738435,-0.22869639794167,"03_5"
"1950-03-20",17.440001,0.0573394462534811,-0.0573065869738435,"03_1"
"1950-03-21",17.450001,0.573054408420947,0.0573394462534811,"03_2"
"1950-03-22",17.549999,0.056980060226793,0.573054408420947,"03_3"
"1950-03-23",17.559999,0,0.056980060226793,"03_4"
"1950-03-24",17.559999,-0.569476114434866,0,"03_5"
"1950-03-27",17.459999,0.400927858014189,-0.569476114434866,"03_1"
"1950-03-28",17.530001,-0.513405561129174,0.400927858014189,"03_2"
"1950-03-29",17.440001,-0.802763715437855,-0.513405561129174,"03_3"
"1950-03-30",17.299999,-0.0577919108550209,-0.802763715437855,"03_4"
"1950-03-31",17.290001,1.38808551832934,-0.0577919108550209,"03_5"
"1950-04-03",17.530001,0.114078715682909,1.38808551832934,"04_1"
"1950-04-04",17.549999,0.455840481814283,0.114078715682909,"04_2"
"1950-04-05",17.629999,0.850833854273032,0.455840481814283,"04_3"
"1950-04-06",17.780001,0.393695140962044,0.850833854273032,"04_4"
"1950-04-10",17.85,-0.560224089635862,0.393695140962044,"04_1"
"1950-04-11",17.75,1.07042816901408,-0.560224089635862,"04_2"
"1950-04-12",17.940001,0.22295985379266,1.07042816901408,"04_3"
"1950-04-13",17.98,-0.111240266963296,0.22295985379266,"04_4"
"1950-04-14",17.959999,-0.445434323242436,-0.111240266963296,"04_5"
"1950-04-17",17.879999,0.838937407099391,-0.445434323242436,"04_1"
"1950-04-18",18.030001,0.110915135279255,0.838937407099391,"04_2"
"1950-04-19",18.049999,-0.664814441263958,0.110915135279255,"04_3"
"1950-04-20",17.93,0.167311767986615,-0.664814441263958,"04_4"
"1950-04-21",17.959999,-0.723825207339942,0.167311767986615,"04_5"
"1950-04-24",17.83,0,-0.723825207339942,"04_1"
"1950-04-25",17.83,-0.392596747055506,0,"04_2"
"1950-04-26",17.76,0.563068693693687,-0.392596747055506,"04_3"
"1950-04-27",17.860001,0.559899184776078,0.563068693693687,"04_4"
