"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",1.86,-0.46
"01_2",17.24,0.55
"01_3",4.18,1.6
"01_4",-10.25,-9.14
"01_5",8.83,-0.85
"02_1",6.47,-9.79
"02_2",9.05,-3.45
"02_3",-7.34,-2.01
"02_4",-0.4,-6.29
"02_5",-6.36,8.73
"03_1",18.45,2.04
"03_2",6.94,-4.97
"03_3",0.66,12.83
"03_4",0.11,-5.78
"03_5",2.13,6.46
"04_1",13.68,9.55
"04_2",-2.12,12.99
"04_3",15.41,9.92
"04_4",-14.49,4.65
"04_5",7.09,-5.12
"05_1",0.1,-5.03
"05_2",3.8,-2.5
"05_3",-3.99,-3.45
"05_4",-0.12,1.33
"05_5",13.95,10.23
"06_1",6.92,1.42
"06_2",3.43,2.99
"06_3",3.87,-4.68
"06_4",-3.36,-1.72
"06_5",4.75,-10.9
"07_1",-2.15,-8.44
"07_2",6.85,5.34
"07_3",16.04,-1.71
"07_4",-4.14,-0.85
"07_5",-4.78,5.49
"08_1",-0.48,-0.05
"08_2",5.07,15.58
"08_3",-7.44,-18.65
"08_4",5.06,-6.8
"08_5",-18.61,9.21
"09_1",13.78,-9.17
"09_2",-1,-11.26
"09_3",-14.53,0.93
"09_4",12.19,3
"09_5",9.93,-12.24
"10_1",6.79,0.53
"10_2",-16.16,-9.85
"10_3",2.1,16.39
"10_4",2.39,5.66
"10_5",13.41,12.76
"11_1",9.31,0.09
"11_2",9.85,-9.28
"11_3",2.64,10.35
"11_4",3.11,5.07
"11_5",-5.41,4.59
"12_1",14,2.82
"12_2",-2.49,13.62
"12_3",-5.63,-4.02
"12_4",9.26,12.53
"12_5",7.36,8.84
